study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	submitted_md5	submitted_ftp	submitted_format	sample_alias
PRJEB49093	SAMEA13188729	ERS10792266	ERX8573673	ERR9030263	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1752928	Illumina HiSeq 2500 sequencing; Raw reads: mada_1-15-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-15-illumina	webin-reads-mada_1-15-illumina	5b75af45e067c81fa531aea3a92e617a;9b513de6c9133f366ad149c319487162	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030263/ERR9030263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030263/ERR9030263_2.fastq.gz	b01e471f1f1d22c22454ba3a0f803fc3;10228f9d6b613649e0af355ee68e6a9c	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030263/mada_1-15.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030263/mada_1-15.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_1-15
PRJEB49093	SAMEA13188766	ERS10792303	ERX8573674	ERR9030264	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1752928	Illumina HiSeq 2500 sequencing; Raw reads: R28182-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R28182-illumina	webin-reads-R28182-illumina	5c8222f87d1700f7d1a376cc69d55e15;d95e1e5389b0f9a06bf9a584bf33e9bc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/004/ERR9030264/ERR9030264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/004/ERR9030264/ERR9030264_2.fastq.gz	0df04e72f5b8aba7070ae82390117471;e7b98b3dacf133d25c99a2288e8d1146	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030264/R28182.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030264/R28182.subsampled.R2.fastq.gz	FASTQ;FASTQ	R28182
PRJEB49093	SAMEA13188668	ERS10792205	ERX8573675	ERR9030265	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	261955	MinION sequencing; Raw reads: mada_1-36-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-36-nanopore	webin-reads-mada_1-36-nanopore	4d4c10f147580d3ab48d6a7c018e1400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/005/ERR9030265/ERR9030265.fastq.gz	c37002c5479c1d0d434e87633f349471	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030265/mada_1-36.subsampled.fastq.gz	FASTQ	mada_1-36
PRJEB49093	SAMEA13188795	ERS10792332	ERX8573676	ERR9030266	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	GridION		SINGLE	WGS	GENOMIC	unspecified	394619	GridION sequencing; Raw reads: 18_0622224-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-18_0622224-nanopore	webin-reads-18_0622224-nanopore	8748022f5ecb5ec9e03e0e9fbcd1e7eb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/006/ERR9030266/ERR9030266.fastq.gz	51d92a94e39706e23883f58982b4c2b1	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030266/18_0622224.subsampled.fastq.gz	FASTQ	18_0622224
PRJEB49093	SAMEA13188667	ERS10792204	ERX8573678	ERR9030268	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1764614	Illumina HiSeq 2500 sequencing; Raw reads: mada_1-22-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-22-illumina	webin-reads-mada_1-22-illumina	81f37d925276dcbf2c25d133a399d22d;93b56ccea1b1aa53824eb14b131e94e0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/008/ERR9030268/ERR9030268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/008/ERR9030268/ERR9030268_2.fastq.gz	e4067ea4a2429bcacee4e13b239c748a;6e1c3a9c032cb956530be83b24959967	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030268/mada_1-22.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030268/mada_1-22.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_1-22
PRJEB49093	SAMEA13188737	ERS10792274	ERX8573679	ERR9030269	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1764614	Illumina HiSeq 2500 sequencing; Raw reads: mada_115-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_115-illumina	webin-reads-mada_115-illumina	dd7b685cb16b9056d511b093b7971275;10b0b4ea683577c9ca664fd5dd8a0408	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/009/ERR9030269/ERR9030269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/009/ERR9030269/ERR9030269_2.fastq.gz	5441c16443ec7197e21b0deac42af8b5;403516a5b2cbfac4a461293f13478ca3	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030269/mada_115.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030269/mada_115.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_115
PRJEB49093	SAMEA13188777	ERS10792314	ERX8573680	ERR9030270	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1514606	Illumina HiSeq 2500 sequencing; Raw reads: R20260-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R20260-illumina	webin-reads-R20260-illumina	fb4579ca5b2095656d20180354aff5de;0b7f4a447de5d46c394e6e90752f974f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/000/ERR9030270/ERR9030270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/000/ERR9030270/ERR9030270_2.fastq.gz	a763f4951e1e995149d0984d83074738;19b970e8cdd4ff4000f38da50019a667	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030270/R20260.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030270/R20260.subsampled.R2.fastq.gz	FASTQ;FASTQ	R20260
PRJEB49093	SAMEA13188790	ERS10792327	ERX8573682	ERR9030272	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq		PAIRED	WGS	GENOMIC	unspecified	1789398	Illumina MiSeq sequencing; Raw reads: 17_616026-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-17_616026-illumina	webin-reads-17_616026-illumina	3652b5f15d61cb9a0fcceff879b24de8;9f56889dd8431ac8bcb34136025ef048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030272/ERR9030272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030272/ERR9030272_2.fastq.gz	a0f6a5bc055d9ed122954629cfe80d35;e2830f5a92ea5e863bfee1b28142e58d	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030272/17_616026.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030272/17_616026.subsampled.R2.fastq.gz	FASTQ;FASTQ	17_616026
PRJEB49093	SAMEA13188664	ERS10792201	ERX8573683	ERR9030273	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1764614	Illumina HiSeq 2500 sequencing; Raw reads: mada_2-50-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_2-50-illumina	webin-reads-mada_2-50-illumina	543db4689c54682759769d809e0a3599;4181384c6cdfd2d61fd41d236c713253	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030273/ERR9030273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030273/ERR9030273_2.fastq.gz	aa3f58172b17866bf49a07627caa0a13;f4eaf64d2e14df054fc65aade08be7f4	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030273/mada_2-50.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030273/mada_2-50.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_2-50
PRJEB49093	SAMEA13188746	ERS10792283	ERX8573684	ERR9030274	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1764614	Illumina HiSeq 2500 sequencing; Raw reads: mada_1-32-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-32-illumina	webin-reads-mada_1-32-illumina	220c5a28df42f325ba30cb45195f0d1a;5f5e505fb7ad7e38218b57f48edd3428	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/004/ERR9030274/ERR9030274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/004/ERR9030274/ERR9030274_2.fastq.gz	f03446ae3a65cff927574a3f875a6124;3eed8aa6d7d3fcceb873f582a58d2cb1	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030274/mada_1-32.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030274/mada_1-32.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_1-32
PRJEB49093	SAMEA13188763	ERS10792300	ERX8573685	ERR9030275	1773	Mycobacterium tuberculosis	ILLUMINA	NextSeq 500		PAIRED	WGS	GENOMIC	unspecified	1752928	NextSeq 500 sequencing; Raw reads: R27657-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R27657-illumina	webin-reads-R27657-illumina	b9e89829d5f9c4adcd05313e4639ba67;6d1f78a6da8aebf1418956a77594f718	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/005/ERR9030275/ERR9030275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/005/ERR9030275/ERR9030275_2.fastq.gz	05f8dfb0badb9abe3d15366fdf9d5af3;c9afdf328c9bac0dbd36782060359e1b	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030275/R27657.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030275/R27657.subsampled.R2.fastq.gz	FASTQ;FASTQ	R27657
PRJEB49093	SAMEA13188783	ERS10792320	ERX8573687	ERR9030277	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	223769	MinION sequencing; Raw reads: R28980-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R28980-nanopore	webin-reads-R28980-nanopore	920d07ac1f9250dffd45a0090f8abdcb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/007/ERR9030277/ERR9030277.fastq.gz	cc148f7073d0a3d349555a10f4d2f356	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030277/R28980.subsampled.fastq.gz	FASTQ	R28980
PRJEB49093	SAMEA13188733	ERS10792270	ERX8573688	ERR9030278	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	98379	MinION sequencing; Raw reads: mada_1-21-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-21-nanopore	webin-reads-mada_1-21-nanopore	327d30844b9a258b1ce0e88d2a332493	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/008/ERR9030278/ERR9030278.fastq.gz	ea35c5e2d075abbf2071f555f4aa86c2	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030278/mada_1-21.subsampled.fastq.gz	FASTQ	mada_1-21
PRJEB49093	SAMEA13188794	ERS10792331	ERX8573689	ERR9030279	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	GridION		SINGLE	WGS	GENOMIC	unspecified	275347	GridION sequencing; Raw reads: 18_0622158-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-18_0622158-nanopore	webin-reads-18_0622158-nanopore	514d700625b261de47a32dae007bffd3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/009/ERR9030279/ERR9030279.fastq.gz	6ce32d8cd879ab29da1aea49884e1d84	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030279/18_0622158.subsampled.fastq.gz	FASTQ	18_0622158
PRJEB49093	SAMEA13188787	ERS10792324	ERX8573690	ERR9030280	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	146991	MinION sequencing; Raw reads: R22601-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R22601-nanopore	webin-reads-R22601-nanopore	5ab46eb0a37e97c439ee06db85b75280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/000/ERR9030280/ERR9030280.fastq.gz	969e2622fcd2364303e561e4909b6a05	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030280/R22601.subsampled.fastq.gz	FASTQ	R22601
PRJEB49093	SAMEA13188685	ERS10792222	ERX8573692	ERR9030282	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1752928	Illumina HiSeq 2500 sequencing; Raw reads: mada_116-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_116-illumina	webin-reads-mada_116-illumina	6a9786eeb5ebaa271f01446d6e2f14f6;14b10d2ed6c55c4209ccb93c793da728	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030282/ERR9030282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030282/ERR9030282_2.fastq.gz	dce4ef55bd6a4bb47d1c89c44dfd2530;be8bf4078916461739b219c203ab7807	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030282/mada_116.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030282/mada_116.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_116
PRJEB49093	SAMEA13188777	ERS10792314	ERX8573693	ERR9030283	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	57872	MinION sequencing; Raw reads: R20260-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R20260-nanopore	webin-reads-R20260-nanopore	4cd3e6ed9d0db857f72b86e7c83bbab2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030283/ERR9030283.fastq.gz	9ce647a96662f3b900d107974fd4c2da	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030283/R20260.subsampled.fastq.gz	FASTQ	R20260
PRJEB49093	SAMEA13188766	ERS10792303	ERX8573694	ERR9030284	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	50169	MinION sequencing; Raw reads: R28182-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R28182-nanopore	webin-reads-R28182-nanopore	d35dc16920734a34faf3324cdda8cdd5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/004/ERR9030284/ERR9030284.fastq.gz	fc828a8b2a092431433f538c96736eaf	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030284/R28182.subsampled.fastq.gz	FASTQ	R28182
PRJEB49093	SAMEA13188797	ERS10792334	ERX8573695	ERR9030285	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	GridION		SINGLE	WGS	GENOMIC	unspecified	312409	GridION sequencing; Raw reads: 18_0622291-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-18_0622291-nanopore	webin-reads-18_0622291-nanopore	11670b80fa4bb6f9c367f0b38c96ab14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/005/ERR9030285/ERR9030285.fastq.gz	06454dc35daa14a95aaa72bfc9947c7b	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030285/18_0622291.subsampled.fastq.gz	FASTQ	18_0622291
